,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Ganhadores_Sena,Rateio_Sena
0,1.0,41.0,5.0,4.0,52.0,30.0,33.0,0.0,0.0
1,2.0,9.0,39.0,37.0,49.0,43.0,41.0,1.0,2307162.23
2,3.0,36.0,30.0,10.0,11.0,29.0,47.0,2.0,391192.51
3,,,,,,,,,
4,4.0,6.0,59.0,42.0,27.0,1.0,5.0,0.0,0.0
5,5.0,1.0,19.0,46.0,6.0,16.0,2.0,0.0,0.0
6,6.0,19.0,40.0,7.0,13.0,22.0,47.0,0.0,0.0
7,7.0,56.0,38.0,21.0,20.0,3.0,5.0,0.0,0.0
8,8.0,53.0,17.0,38.0,4.0,47.0,37.0,0.0,0.0
9,9.0,55.0,43.0,56.0,54.0,8.0,60.0,0.0,0.0
10,10.0,25.0,4.0,18.0,57.0,21.0,38.0,0.0,0.0
11,11.0,25.0,15.0,58.0,37.0,59.0,38.0,1.0,15591365.07
12,12.0,20.0,27.0,43.0,16.0,19.0,4.0,0.0,0.0
13,13.0,47.0,32.0,50.0,54.0,18.0,56.0,0.0,0.0
14,14.0,16.0,2.0,27.0,47.0,23.0,53.0,0.0,0.0
15,15.0,60.0,12.0,33.0,52.0,35.0,51.0,0.0,0.0
16,16.0,60.0,58.0,49.0,32.0,20.0,34.0,0.0,0.0
17,17.0,10.0,20.0,6.0,19.0,51.0,13.0,1.0,6789869.08
18,18.0,37.0,36.0,56.0,27.0,42.0,23.0,0.0,0.0
19,19.0,5.0,25.0,12.0,10.0,60.0,24.0,0.0,0.0
20,20.0,25.0,28.0,30.0,33.0,51.0,11.0,0.0,0.0
21,21.0,49.0,46.0,6.0,53.0,33.0,36.0,0.0,0.0
22,22.0,9.0,38.0,56.0,1.0,31.0,46.0,0.0,0.0
23,23.0,17.0,52.0,51.0,59.0,39.0,37.0,0.0,0.0
24,24.0,1.0,8.0,14.0,28.0,33.0,43.0,1.0,18661679.61
25,25.0,56.0,50.0,55.0,54.0,24.0,43.0,0.0,0.0
26,26.0,50.0,53.0,57.0,10.0,58.0,22.0,0.0,0.0
27,27.0,44.0,33.0,13.0,51.0,17.0,20.0,0.0,0.0
28,28.0,60.0,6.0,22.0,3.0,24.0,54.0,0.0,0.0
29,29.0,14.0,56.0,58.0,8.0,43.0,3.0,1.0,5401793.6
30,30.0,38.0,50.0,7.0,29.0,15.0,14.0,0.0,0.0
31,31.0,56.0,19.0,28.0,48.0,17.0,45.0,0.0,0.0
32,32.0,43.0,33.0,14.0,36.0,5.0,44.0,0.0,0.0
33,33.0,5.0,33.0,49.0,17.0,42.0,39.0,1.0,13997410.74
34,34.0,15.0,13.0,57.0,53.0,40.0,17.0,0.0,0.0
35,35.0,21.0,57.0,16.0,23.0,54.0,4.0,0.0,0.0
36,36.0,13.0,3.0,51.0,17.0,29.0,25.0,0.0,0.0
37,37.0,22.0,6.0,7.0,52.0,38.0,60.0,0.0,0.0
38,38.0,55.0,42.0,10.0,43.0,45.0,54.0,0.0,0.0
39,39.0,16.0,37.0,45.0,52.0,56.0,12.0,0.0,0.0
40,40.0,3.0,12.0,46.0,5.0,47.0,8.0,0.0,0.0
41,41.0,38.0,26.0,35.0,39.0,12.0,47.0,1.0,17019238.5
42,42.0,24.0,36.0,19.0,33.0,7.0,11.0,0.0,0.0
43,43.0,2.0,58.0,25.0,6.0,26.0,17.0,0.0,0.0
44,44.0,47.0,38.0,18.0,14.0,29.0,44.0,0.0,0.0
45,45.0,30.0,7.0,37.0,55.0,44.0,53.0,0.0,0.0
46,46.0,32.0,46.0,1.0,60.0,24.0,23.0,0.0,0.0
47,47.0,35.0,17.0,3.0,48.0,25.0,56.0,0.0,0.0
48,48.0,47.0,5.0,34.0,28.0,2.0,50.0,0.0,0.0
49,49.0,33.0,7.0,43.0,35.0,13.0,55.0,1.0,8405156.76
50,50.0,57.0,44.0,21.0,16.0,58.0,6.0,0.0,0.0
51,51.0,23.0,24.0,42.0,25.0,17.0,47.0,0.0,0.0
52,52.0,58.0,15.0,59.0,30.0,38.0,46.0,0.0,0.0
53,53.0,42.0,13.0,3.0,46.0,38.0,16.0,0.0,0.0
54,54.0,5.0,21.0,9.0,56.0,18.0,36.0,2.0,7469653.99
55,,,,,,,,,
56,55.0,29.0,2.0,14.0,38.0,23.0,52.0,0.0,0.0
57,56.0,51.0,35.0,59.0,7.0,20.0,2.0,0.0,0.0
58,57.0,27.0,17.0,16.0,34.0,7.0,59.0,0.0,0.0
59,58.0,30.0,49.0,27.0,37.0,12.0,44.0,1.0,3631304.91
60,59.0,28.0,13.0,34.0,2.0,8.0,54.0,0.0,0.0
61,60.0,38.0,14.0,21.0,15.0,3.0,20.0,0.0,0.0
62,61.0,59.0,8.0,18.0,29.0,42.0,44.0,0.0,0.0
63,62.0,52.0,13.0,6.0,24.0,8.0,31.0,0.0,0.0
64,63.0,26.0,9.0,41.0,49.0,25.0,40.0,1.0,13680019.57
65,64.0,8.0,54.0,50.0,60.0,23.0,12.0,0.0,0.0
66,65.0,20.0,1.0,5.0,32.0,25.0,34.0,0.0,0.0
67,66.0,15.0,26.0,12.0,33.0,48.0,13.0,0.0,0.0
68,67.0,47.0,14.0,27.0,52.0,17.0,12.0,0.0,0.0
69,68.0,53.0,13.0,3.0,1.0,12.0,59.0,0.0,0.0
70,69.0,56.0,58.0,34.0,53.0,25.0,45.0,0.0,0.0
71,70.0,40.0,17.0,23.0,43.0,27.0,58.0,0.0,0.0
72,71.0,53.0,16.0,45.0,43.0,33.0,27.0,0.0,0.0
73,72.0,19.0,48.0,43.0,1.0,34.0,44.0,0.0,0.0
74,73.0,57.0,25.0,45.0,28.0,51.0,26.0,1.0,21026575.4
75,74.0,2.0,24.0,34.0,50.0,38.0,37.0,0.0,0.0
76,75.0,36.0,49.0,37.0,35.0,24.0,21.0,0.0,0.0
77,76.0,33.0,18.0,23.0,8.0,17.0,53.0,0.0,0.0
78,77.0,29.0,54.0,40.0,57.0,49.0,21.0,0.0,0.0
79,78.0,22.0,32.0,46.0,12.0,25.0,31.0,0.0,0.0
80,79.0,43.0,25.0,2.0,13.0,31.0,17.0,1.0,6770601.75
81,80.0,51.0,40.0,37.0,23.0,48.0,28.0,0.0,0.0
82,81.0,47.0,41.0,10.0,60.0,54.0,23.0,0.0,0.0
83,82.0,51.0,36.0,53.0,29.0,18.0,15.0,1.0,13877826.02
84,83.0,24.0,16.0,4.0,42.0,57.0,15.0,0.0,0.0
85,84.0,10.0,34.0,4.0,6.0,25.0,40.0,0.0,0.0
86,85.0,47.0,15.0,30.0,37.0,45.0,6.0,0.0,0.0
87,86.0,54.0,21.0,6.0,34.0,36.0,22.0,0.0,0.0
88,87.0,40.0,4.0,28.0,32.0,11.0,5.0,0.0,0.0
89,88.0,45.0,37.0,29.0,4.0,43.0,18.0,0.0,0.0
90,89.0,59.0,42.0,34.0,13.0,44.0,55.0,0.0,0.0
91,90.0,21.0,26.0,40.0,54.0,9.0,52.0,1.0,15764300.87
92,91.0,60.0,4.0,10.0,35.0,39.0,2.0,0.0,0.0
93,92.0,5.0,23.0,51.0,3.0,1.0,24.0,0.0,0.0
94,93.0,22.0,53.0,31.0,28.0,2.0,36.0,0.0,0.0
95,94.0,28.0,51.0,55.0,18.0,52.0,8.0,0.0,0.0
96,95.0,46.0,60.0,6.0,40.0,50.0,45.0,0.0,0.0
97,96.0,4.0,42.0,58.0,26.0,7.0,40.0,1.0,5218562.47
98,97.0,56.0,53.0,11.0,14.0,5.0,35.0,1.0,727932.66
99,98.0,43.0,33.0,14.0,31.0,35.0,13.0,0.0,0.0
100,99.0,30.0,33.0,24.0,11.0,46.0,60.0,0.0,0.0
101,100.0,46.0,48.0,30.0,14.0,29.0,51.0,0.0,0.0
102,101.0,39.0,1.0,37.0,31.0,29.0,18.0,0.0,0.0
103,102.0,44.0,42.0,37.0,56.0,19.0,20.0,1.0,11336626.88
104,103.0,9.0,1.0,57.0,7.0,54.0,49.0,1.0,696984.24
105,104.0,13.0,1.0,38.0,21.0,52.0,4.0,0.0,0.0
106,105.0,3.0,13.0,31.0,43.0,46.0,49.0,0.0,0.0
107,106.0,24.0,16.0,38.0,5.0,39.0,35.0,0.0,0.0
108,107.0,2.0,24.0,52.0,4.0,16.0,51.0,0.0,0.0
109,108.0,60.0,29.0,34.0,24.0,21.0,59.0,0.0,0.0
110,109.0,54.0,13.0,44.0,49.0,48.0,1.0,0.0,0.0
111,110.0,57.0,58.0,18.0,31.0,43.0,52.0,0.0,0.0
112,111.0,52.0,32.0,4.0,33.0,25.0,22.0,0.0,0.0
113,112.0,37.0,43.0,34.0,20.0,12.0,42.0,1.0,15802579.93
114,113.0,34.0,54.0,26.0,28.0,55.0,7.0,0.0,0.0
115,114.0,47.0,54.0,18.0,6.0,12.0,37.0,0.0,0.0
116,115.0,6.0,14.0,24.0,20.0,4.0,38.0,0.0,0.0
117,116.0,36.0,42.0,32.0,5.0,13.0,51.0,0.0,0.0
118,117.0,53.0,42.0,27.0,20.0,33.0,25.0,0.0,0.0
119,118.0,22.0,57.0,37.0,9.0,25.0,56.0,0.0,0.0
120,119.0,47.0,21.0,1.0,50.0,36.0,38.0,0.0,0.0
121,120.0,46.0,45.0,16.0,40.0,27.0,3.0,0.0,0.0
122,121.0,53.0,41.0,44.0,2.0,29.0,55.0,0.0,0.0
123,122.0,20.0,43.0,39.0,11.0,53.0,17.0,0.0,0.0
